GeneName,WT_EtOH_1,WT_EtOH_2,WT_EtOH_3,WT_Dex_1,WT_Dex_2,WT_Dex_3,Brg1KD_EtOH_1,Brg1KD_EtOH_2,Brg1KD_EtOH_3,Brg1KD_Dex_1,Brg1KD_Dex_2,Brg1KD_Dex_3
JPH1,9.8,9.8,9.8,9.7,9.4,9.6,10.1,9.9,10.0,9.9,9.9,10.0
JPH2,8.4,8.5,8.5,8.2,7.9,7.8,7.6,7.4,7.4,6.9,7.1,7.0
JPH3,2.9,3.5,4.3,3.3,2.3,3.6,2.7,3.5,3.5,3.7,2.7,3.0
JPH4,1.5,2.7,2.8,4.7,4.3,4.5,1.7,0.4,2.7,1.4,1.9,3.7
JPT1,12.4,12.5,12.5,12.5,12.7,12.7,12.1,12.2,12.2,12.1,12.1,12.0
JPT2,13.3,13.3,13.3,13.2,13.2,13.2,13.3,13.3,13.3,13.3,13.3,13.2
JPX,8.3,8.4,8.7,8.6,8.6,8.9,8.0,8.4,8.3,8.0,8.4,8.3
JRK,10.0,9.8,9.8,10.5,10.2,10.2,9.8,9.9,9.8,10.4,10.2,10.1
JRKL,8.3,8.4,8.3,8.6,9.0,9.0,8.3,8.8,8.8,8.6,8.8,8.8
JRKL-AS1,1.6,0.8,1.1,1.7,1.1,1.7,2.7,1.6,2.6,1.9,-0.1,2.3
JSRP1,0.7,3.5,2.9,3.7,3.1,4.0,3.4,3.3,4.5,3.8,2.3,3.6
JTB,12.1,12.0,11.8,11.7,11.9,11.7,11.9,11.9,11.9,11.9,11.9,12.0
JTBP1,2.6,2.6,3.3,3.4,3.3,3.1,3.3,2.6,3.1,3.1,3.7,2.6
JUN,8.9,8.8,8.7,10.3,10.3,10.3,9.5,9.4,9.4,10.2,10.2,10.3
JUNB,9.8,9.8,9.6,10.0,10.0,9.7,10.4,10.3,10.3,10.7,10.7,10.9
JUND,9.3,9.1,9.3,9.7,9.8,9.4,9.8,10.0,9.9,10.4,10.2,10.3
JUP,13.2,13.2,13.1,13.3,12.6,12.3,13.1,13.0,12.9,13.0,13.2,13.0
KAAG1,5.3,5.2,5.2,5.4,5.9,5.4,5.8,5.2,5.0,5.1,5.5,5.6
KALRN,9.0,9.0,9.0,7.6,8.0,7.6,8.5,8.3,8.5,7.8,7.7,7.8
KANK1,9.5,9.7,9.9,10.2,10.3,10.3,9.8,9.8,9.8,10.4,10.4,10.4
KANK1P1,0.1,-0.3,0.0,-0.1,0.1,0.0,0.3,0.4,0.4,-0.2,-0.1,-0.5
KANK2,9.5,9.6,9.6,9.1,8.6,8.6,9.1,8.8,9.0,8.8,8.8,8.6
KANK3,7.3,7.0,6.8,7.0,7.1,7.1,6.7,6.8,6.6,6.9,6.8,6.4
KANK4,0.1,-0.3,0.0,-0.1,0.1,1.6,0.3,0.4,0.4,0.8,-0.1,-0.5
KANSL1,10.0,10.0,10.2,10.4,10.3,10.3,10.2,10.1,10.0,10.4,10.3,10.4
KANSL1-AS1,5.6,5.4,5.0,4.6,5.3,4.9,5.6,5.7,4.8,4.3,5.5,5.6
KANSL1L,9.4,9.4,9.4,9.9,9.8,9.9,9.6,9.7,9.8,9.7,9.7,9.8
KANSL2,11.1,11.0,11.0,10.9,11.2,11.2,11.3,11.3,11.2,11.1,11.2,11.1
KANSL3,10.4,10.3,10.3,10.0,10.1,10.1,10.6,10.4,10.6,10.3,10.4,10.5
KANTR,9.2,9.2,9.2,9.2,9.1,9.0,9.1,9.0,9.1,9.1,9.0,9.0
